date,close,high,low,open,volume,price_change,price_pct_change
2025-05-05,104106.359375,104961.765625,93399.859375,94319.5625,346007588371,9786.796875,10.376211059079075
2025-05-12,106446.0078125,106597.171875,100814.40625,104106.9609375,344395798973,2339.046875,2.2467727939961986
2025-05-19,109035.390625,111970.171875,102112.6875,106430.53125,407490594865,2604.859375,2.44747380700498
2025-05-26,105652.1015625,110744.2109375,103136.1171875,109023.78125,342628955292,-3371.6796875,-3.0926093819553704
2025-06-02,105793.6484375,106813.578125,100436.8828125,105649.8125,317888289963,143.8359375,0.1361440537341228
2025-06-09,105552.0234375,110561.421875,102822.0234375,105793.0234375,360592444302,-241.0,-0.22780330136077173
2025-06-16,100987.140625,108915.375,98286.203125,105555.59375,345832029969,-4568.453125,-4.32800665762917
2025-06-23,108385.5703125,108526.3046875,99705.75,100987.4765625,320503132421,7398.09375,7.325753649682894
2025-06-30,109232.0703125,110541.4609375,105157.3984375,108383.4375,302896897483,848.6328125,0.7829912319398433
2025-07-07,119116.1171875,119449.5703125,107499.5546875,109235.328125,425010937713,9880.7890625,9.04541528102816
2025-07-14,117300.7890625,123091.609375,115765.6875,119115.7890625,607619761231,-1815.0,-1.5237274707953874
2025-07-21,119448.4921875,120269.96875,114759.8203125,117306.46875,496322967466,2142.0234375,1.8260062384667086
2025-07-28,114217.671875,119819.7890625,111943.8046875,119457.5234375,467817557243,-5239.8515625,-4.386372169553208
2025-08-04,119306.7578125,119320.7109375,112701.109375,114223.921875,395725770752,5082.8359375,4.44988742643801
2025-08-11,117453.0625,124457.1171875,116864.5703125,119306.8125,520847323413,-1853.75,-1.5537670994269501
2025-08-18,113458.4296875,117614.171875,111060.546875,117453.90625,482123824127,-3995.4765625,-3.401740044299293
2025-08-25,108236.7109375,113637.84375,107444.4453125,113456.8984375,453416228500,-5220.1875,-4.601031380102149
2025-09-01,111167.6171875,113357.4921875,107271.1796875,108228.75,369258523185,2938.8671875,2.715421907302819
